Fecha,Casos nuevos
2021-12-28,"21,922"
2021-12-29,"21,119"
2021-12-30,"21,073"
2021-12-31,"20,638"
2022-01-01,"19,751"
2022-01-02,"18,233"
2022-01-03,"16,343"
2022-01-04,"15,903"
2022-01-05,"15,772"
2022-01-06,"15,316"
2022-01-07,"16,735"
2022-01-08,"16,568"
2022-01-09,"16,246"
2022-01-10,"15,830"
2022-01-11,"17,525"
2022-01-12,"17,946"
2022-01-13,"21,155"
2022-01-14,"23,820"
2022-01-15,"27,179"
2022-01-16,"29,230"
2022-01-17,"30,726"
2022-01-18,"31,252"
2022-01-19,"33,899"
2022-01-20,"38,850"
2022-01-21,"49,513"
2022-01-22,"57,212"
2022-01-23,"63,205"
2022-01-24,"65,109"
2022-01-25,"67,809"
2022-01-26,"74,692"
2022-01-27,"88,816"
2022-01-28,"98,040"
2022-01-29,"113,122"
2022-01-30,"121,228"
2022-01-31,"124,070"
2022-02-01,"125,836"
2022-02-02,"141,883"
2022-02-03,"155,768"
2022-02-04,"168,201"
2022-02-05,"177,282"
2022-02-06,"180,071"
2022-02-07,"171,905"
2022-02-08,"165,643"
2022-02-09,"183,103"
2022-02-10,"197,076"
2022-02-11,"203,949"
2022-02-12,"203,766"
2022-02-13,"197,949"
2022-02-14,"180,456"
2022-02-15,"166,631"
2022-02-16,"179,284"
2022-02-17,"180,622"
2022-02-18,"180,071"
2022-02-19,"179,147"
2022-02-20,"170,699"
2022-02-21,"152,337"
2022-02-22,"135,172"
2022-02-23,"137,642"
2022-02-24,"132,998"
2022-02-25,"123,460"
2022-02-26,"123,175"
2022-02-27,"115,913"
2022-02-28,"106,920"
2022-03-01,"97,333"
2022-03-02,"97,455"
2022-03-03,"93,026"
2022-03-04,"89,174"
2022-03-05,"86,769"
2022-03-06,"79,863"
2022-03-07,"73,162"
2022-03-08,"66,576"
2022-03-09,"58,675"
2022-03-10,"51,231"
2022-03-11,"50,743"
2022-03-12,"48,154"
2022-03-13,"44,989"
2022-03-14,"41,055"
2022-03-15,"36,678"
2022-03-16,"36,519"
2022-03-17,"34,819"
2022-03-18,"34,442"
2022-03-19,"32,958"
2022-03-20,"31,035"
2022-03-21,"28,709"
2022-03-22,"26,394"
2022-03-23,"26,826"
2022-03-24,"25,387"
2022-03-25,"25,382"
2022-03-26,"24,072"
2022-03-27,"23,280"
2022-03-28,"21,101"
