scenario,date,value,segment
tpeak_minus_14,2022-01-01,1534.0,known
tpeak_minus_14,2022-01-02,1468.0,known
tpeak_minus_14,2022-01-03,1341.0,known
tpeak_minus_14,2022-01-04,1297.0,known
tpeak_minus_14,2022-01-05,1273.0,known
tpeak_minus_14,2022-01-06,1286.0,known
tpeak_minus_14,2022-01-07,1291.0,known
tpeak_minus_14,2022-01-08,1376.0,known
tpeak_minus_14,2022-01-09,1323.0,known
tpeak_minus_14,2022-01-10,1419.0,known
tpeak_minus_14,2022-01-11,1512.0,known
tpeak_minus_14,2022-01-12,1659.0,known
tpeak_minus_14,2022-01-13,1839.0,known
tpeak_minus_14,2022-01-14,2708.0,known
tpeak_minus_14,2022-01-15,3314.0,known
tpeak_minus_14,2022-01-16,3958.0,known
tpeak_minus_14,2022-01-17,4132.0,known
tpeak_minus_14,2022-01-18,4078.0,known
tpeak_minus_14,2022-01-19,4382.0,known
tpeak_minus_14,2022-01-20,4753.0,known
tpeak_minus_14,2022-01-21,5922.0,known
tpeak_minus_14,2022-01-22,8451.0,known
tpeak_minus_14,2022-01-23,9535.0,known
tpeak_minus_14,2022-01-24,8413.0,known
tpeak_minus_14,2022-01-25,9722.0,known
tpeak_minus_14,2022-01-26,10581.0,known
tpeak_minus_14,2022-01-27,11808.0,known
tpeak_minus_14,2022-01-28,13976.0,known
tpeak_minus_14,2022-01-29,14939.0,hidden
tpeak_minus_14,2022-01-30,17833.0,hidden
tpeak_minus_14,2022-01-31,15802.0,hidden
tpeak_minus_14,2022-02-01,13619.0,hidden
tpeak_minus_14,2022-02-02,19234.0,hidden
tpeak_minus_14,2022-02-03,21234.0,hidden
tpeak_minus_14,2022-02-04,21832.0,hidden
tpeak_minus_14,2022-02-05,21780.0,hidden
tpeak_minus_14,2022-02-06,21448.0,hidden
tpeak_minus_14,2022-02-07,13372.0,hidden
tpeak_minus_14,2022-02-08,11014.0,hidden
tpeak_minus_14,2022-02-09,19644.0,hidden
tpeak_minus_14,2022-02-10,21644.0,hidden
tpeak_minus_14,2022-02-11,22070.0,hidden
tpeak_minus_7,2022-01-01,1534.0,known
tpeak_minus_7,2022-01-02,1468.0,known
tpeak_minus_7,2022-01-03,1341.0,known
tpeak_minus_7,2022-01-04,1297.0,known
tpeak_minus_7,2022-01-05,1273.0,known
tpeak_minus_7,2022-01-06,1286.0,known
tpeak_minus_7,2022-01-07,1291.0,known
tpeak_minus_7,2022-01-08,1376.0,known
tpeak_minus_7,2022-01-09,1323.0,known
tpeak_minus_7,2022-01-10,1419.0,known
