scenario,date,value,segment
lstm_tpeak_minus_14,2022-01-01,252.4694202735222,known
lstm_tpeak_minus_14,2022-01-02,337.74895211753943,known
lstm_tpeak_minus_14,2022-01-03,438.0202409234086,known
lstm_tpeak_minus_14,2022-01-04,543.0870124276227,known
lstm_tpeak_minus_14,2022-01-05,664.6920661940701,known
lstm_tpeak_minus_14,2022-01-06,814.5817248127648,known
lstm_tpeak_minus_14,2022-01-07,990.1479297184428,known
lstm_tpeak_minus_14,2022-01-08,1235.2993044884236,known
lstm_tpeak_minus_14,2022-01-09,1602.0753017882378,known
lstm_tpeak_minus_14,2022-01-10,2061.7999560524277,known
lstm_tpeak_minus_14,2022-01-11,2507.3297226087197,known
lstm_tpeak_minus_14,2022-01-12,2802.4886468055847,known
lstm_tpeak_minus_14,2022-01-13,2838.312727587061,known
lstm_tpeak_minus_14,2022-01-14,2687.184293223868,known
lstm_tpeak_minus_14,2022-01-15,3096.2044377029683,known
lstm_tpeak_minus_14,2022-01-16,3653.735358232818,known
lstm_tpeak_minus_14,2022-01-17,4205.627873390359,known
lstm_tpeak_minus_14,2022-01-18,4705.07868755466,known
lstm_tpeak_minus_14,2022-01-19,5250.459689002164,known
lstm_tpeak_minus_14,2022-01-20,6343.07580166356,known
lstm_tpeak_minus_14,2022-01-21,7690.888482840899,known
lstm_tpeak_minus_14,2022-01-22,9008.271825942387,hidden
lstm_tpeak_minus_14,2022-01-23,10150.26475657153,hidden
lstm_tpeak_minus_14,2022-01-24,11016.450817036095,hidden
lstm_tpeak_minus_14,2022-01-25,11673.659830194443,hidden
lstm_tpeak_minus_14,2022-01-26,12616.943608090902,hidden
lstm_tpeak_minus_14,2022-01-27,14051.351838955052,hidden
lstm_tpeak_minus_14,2022-01-28,15235.509144673335,hidden
lstm_tpeak_minus_14,2022-01-29,16314.792130427164,hidden
lstm_tpeak_minus_14,2022-01-30,17517.995334549985,hidden
lstm_tpeak_minus_14,2022-01-31,18860.092396534077,hidden
lstm_tpeak_minus_14,2022-02-01,19871.661822131977,hidden
lstm_tpeak_minus_14,2022-02-02,20728.88102593542,hidden
lstm_tpeak_minus_14,2022-02-03,21326.984392797414,hidden
lstm_tpeak_minus_14,2022-02-04,21509.654781132638,hidden
lstm_tpeak_minus_7,2022-01-01,252.4694202735222,known
lstm_tpeak_minus_7,2022-01-02,337.74895211753943,known
lstm_tpeak_minus_7,2022-01-03,438.0202409234086,known
lstm_tpeak_minus_7,2022-01-04,543.0870124276227,known
lstm_tpeak_minus_7,2022-01-05,664.6920661940701,known
lstm_tpeak_minus_7,2022-01-06,814.5817248127648,known
lstm_tpeak_minus_7,2022-01-07,990.1479297184428,known
lstm_tpeak_minus_7,2022-01-08,1235.2993044884236,known
lstm_tpeak_minus_7,2022-01-09,1602.0753017882378,known
lstm_tpeak_minus_7,2022-01-10,2061.7999560524277,known
lstm_tpeak_minus_7,2022-01-11,2507.3297226087197,known
lstm_tpeak_minus_7,2022-01-12,2802.4886468055847,known
lstm_tpeak_minus_7,2022-01-13,2838.312727587061,known
lstm_tpeak_minus_7,2022-01-14,2687.184293223868,known
lstm_tpeak_minus_7,2022-01-15,3096.2044377029683,known
lstm_tpeak_minus_7,2022-01-16,3653.735358232818,known
lstm_tpeak_minus_7,2022-01-17,4205.627873390359,known
lstm_tpeak_minus_7,2022-01-18,4705.07868755466,known
lstm_tpeak_minus_7,2022-01-19,5250.459689002164,known
lstm_tpeak_minus_7,2022-01-20,6343.07580166356,known
lstm_tpeak_minus_7,2022-01-21,7690.888482840899,known
lstm_tpeak_minus_7,2022-01-22,9008.271825942387,known
lstm_tpeak_minus_7,2022-01-23,10150.26475657153,known
lstm_tpeak_minus_7,2022-01-24,11016.450817036095,known
lstm_tpeak_minus_7,2022-01-25,11673.659830194443,known
lstm_tpeak_minus_7,2022-01-26,12616.943608090902,known
lstm_tpeak_minus_7,2022-01-27,14051.351838955052,known
lstm_tpeak_minus_7,2022-01-28,15235.509144673335,known
lstm_tpeak_minus_7,2022-01-29,16314.792130427164,hidden
lstm_tpeak_minus_7,2022-01-30,17517.995334549985,hidden
lstm_tpeak_minus_7,2022-01-31,18860.092396534077,hidden
lstm_tpeak_minus_7,2022-02-01,19871.661822131977,hidden
lstm_tpeak_minus_7,2022-02-02,20728.88102593542,hidden
lstm_tpeak_minus_7,2022-02-03,21326.984392797414,hidden
lstm_tpeak_minus_7,2022-02-04,21509.654781132638,hidden
lstm_tpeak_minus_7,2022-02-05,21218.227824459118,hidden
lstm_tpeak_minus_7,2022-02-06,20566.54791304099,hidden
lstm_tpeak_minus_7,2022-02-07,19858.12798586444,hidden
lstm_tpeak_minus_7,2022-02-08,19313.46403500628,hidden
lstm_tpeak_minus_7,2022-02-09,18744.409166276844,hidden
lstm_tpeak_minus_7,2022-02-10,18158.51347416912,hidden
lstm_tpeak_minus_7,2022-02-11,17408.889470979328,hidden
lstm_tpeak_plus_7,2022-01-01,252.4694202735222,known
lstm_tpeak_plus_7,2022-01-02,337.74895211753943,known
lstm_tpeak_plus_7,2022-01-03,438.0202409234086,known
lstm_tpeak_plus_7,2022-01-04,543.0870124276227,known
