Dia,Ground_Truth,LSTM_Pred,SmoothAE_Pred,BasicAE_Pred
0,0.0003016439595797089,0.00029810308,0.00030008648,0.0002997086
1,0.0004200671437110028,0.0004098826,0.00043449237,0.0004804184
2,0.0005771454426625106,0.00057641335,0.00068496115,0.00064156856
3,0.0007614275579687069,0.00073548435,0.0008985218,0.0007478012
4,0.000996151246515733,0.0009410206,0.0010852112,0.00073026185
5,0.001301202665638843,0.0012061105,0.0001802338,0.00031726298
6,0.001671442696026679,0.0016220381,0.00021580867,0.0
7,0.002145638172484485,0.002346272,0.004347086,0.0
8,0.00269597081873991,0.0034057465,0.0070087104,0.0
9,0.0034094146431384365,0.004473832,0.016496593,0.0
10,0.004323619280635015,0.005048245,0.0011522928,0.0
11,0.005450482909635288,0.0052133813,0.0023536119,0.0
12,0.006874465838821577,0.006917463,0.008638217,0.0025537757
13,0.008621598824705761,0.009076796,0.011321155,0.004223418
14,0.010710092224847643,0.011090463,0.017530391,0.011564316
15,0.013243566325362116,0.012916347,0.016239747,0.019078929
16,0.016283634697992946,0.016512973,0.021318747,0.024186298
17,0.01952485490366945,0.020837938,0.028157445,0.028069234
18,0.023066992889022954,0.024839241,0.03199823,0.026613856
19,0.026718448879727862,0.027872132,0.033711195,0.028166873
20,0.03024304682743172,0.029563962,0.032704946,0.02944432
21,0.033495941771543795,0.03208098,0.034900323,0.030388009
22,0.03629614733631626,0.035678558,0.03769431,0.02962847
23,0.038237002776241626,0.03764599,0.035781384,0.027337687
24,0.03924130958166452,0.038798936,0.035299305,0.031391334
25,0.03916332903211392,0.040175304,0.030366529,0.029756667
26,0.03810997715326306,0.03971073,0.028578162,0.028187867
27,0.03624615264301554,0.03827092,0.027105164,0.024154633
28,0.033697708064507115,0.035792835,0.02498069,0.023423819
29,0.030721543523313164,0.032194424,0.02244947,0.022677885
30,0.027576234924784514,0.027874228,0.019871056,0.019886896
31,0.024282562186136666,0.02389444,0.018085476,0.018022647
32,0.021075640015864233,0.020573726,0.018395403,0.017222423
33,0.018148464688105735,0.017570296,0.015320511,0.015688088
34,0.015495897083549797,0.014921371,0.013056876,0.014137735
35,0.01321077650975595,0.012400455,0.011321844,0.0125719495
36,0.011245119233154017,0.010278021,0.01031655,0.011966455
37,0.009518095844575159,0.008525993,0.009243271,0.010265112
38,0.008011607706444565,0.007168924,0.007994939,0.00920495
39,0.006735821337399943,0.0059949285,0.006649264,0.008398472
40,0.005674872499567085,0.004950136,0.005706625,0.008149174
41,0.004692630391187529,0.0040888777,0.005584288,0.0069862707
42,0.003964495388757619,0.0035247065,0.004569995,0.0058313864
43,0.003310821756349883,0.0030011446,0.0037422427,0.0053380206
44,0.002754903110842981,0.0025369907,0.0030920946,0.005012945
45,0.0022917679129030987,0.0021309184,0.0027650858,0.004193946
