TIME,CONFIRMED
2022-01-01 12:00:00,1534
2022-01-02 11:45:00,1468
2022-01-03 11:30:00,1341
2022-01-04 11:30:00,1297
2022-01-05 11:30:00,1273
2022-01-06 11:45:00,1286
2022-01-07 11:30:00,1291
2022-01-08 11:45:00,1376
2022-01-09 11:45:00,1323
2022-01-10 11:30:00,1419
2022-01-11 11:45:00,1512
2022-01-12 11:00:00,1659
2022-01-13 11:50:00,1839
2022-01-14 11:30:00,2708
2022-01-15 11:50:00,3314
2022-01-16 11:00:00,3958
2022-01-17 11:30:00,4132
2022-01-18 11:40:00,4078
2022-01-19 11:00:00,4382
2022-01-20 13:30:00,4753
2022-01-21 12:40:00,5922
2022-01-22 11:30:00,8451
2022-01-23 11:45:00,9535
2022-01-24 12:45:00,8413
2022-01-25 11:40:00,9722
2022-01-26 11:30:00,10581
2022-01-27 11:20:00,11808
2022-01-28 11:40:00,13976
2022-01-29 11:30:00,14939
2022-01-30 11:45:00,17833
2022-01-31 12:30:00,15802
2022-02-01 11:30:00,13619
2022-02-02 11:40:00,19234
2022-02-03 11:40:00,21234
2022-02-04 11:30:00,21832
2022-02-05 11:20:00,21780
2022-02-06 11:15:00,21448
2022-02-07 11:40:00,13372
2022-02-08 11:00:00,11014
2022-02-09 11:15:00,19644
2022-02-10 12:00:00,21644
2022-02-11 11:20:00,22070
2022-02-12 12:00:00,21689
2022-02-13 11:40:00,20136
2022-02-14 11:30:00,11384
2022-02-15 11:00:00,7091
2022-02-16 11:10:00,17151
2022-02-17 11:15:00,16595
2022-02-18 11:15:00,16398
2022-02-19 11:00:00,18042
2022-02-20 11:00:00,16599
2022-02-21 11:30:00,9043
2022-02-22 11:00:00,6575
2022-02-23 12:15:00,9794
2022-02-24 11:00:00,8742
2022-02-25 11:00:00,7572
2022-02-26 11:00:00,7409
2022-02-27 11:00:00,6442
2022-02-28 11:15:00,5409
2022-03-01 11:00:00,3421
2022-03-02 11:15:00,4514
2022-03-03 11:00:00,3562
2022-03-04 11:00:00,3422
2022-03-05 11:00:00,3481
2022-03-06 11:00:00,3155
2022-03-07 11:15:00,3096
2022-03-08 11:00:00,2748
2022-03-09 11:15:00,2642
2022-03-10 11:00:00,2402
2022-03-11 11:30:00,2595
2022-03-12 11:00:00,2381
2022-03-13 11:20:00,1923
2022-03-14 11:00:00,1547
2022-03-15 11:00:00,1264
2022-03-16 11:00:00,1569
2022-03-17 11:00:00,1560
2022-03-18 11:00:00,1486
2022-03-19 11:00:00,1472
2022-03-20 11:00:00,1398
2022-03-21 11:15:00,1352
2022-03-22 11:00:00,1309
2022-03-23 11:00:00,1431
2022-03-24 11:00:00,1279
2022-03-25 11:15:00,1237
2022-03-26 11:00:00,1145
2022-03-27 11:00:00,1105
2022-03-28 11:30:00,998
2022-03-29 11:00:00,980
2022-03-30 12:20:00,1084
2022-03-31 11:00:00,931
2022-04-01 11:15:00,958
2022-04-02 11:00:00,917
2022-04-03 11:00:00,764
2022-04-04 11:15:00,759
2022-04-05 11:00:00,700
2022-04-06 12:15:00,734
2022-04-07 11:15:00,715
2022-04-08 11:00:00,743
2022-04-09 11:10:00,689
2022-04-10 11:30:00,617
2022-04-11 12:30:00,609
2022-04-12 12:00:00,508
2022-04-13 11:30:00,587
2022-04-14 11:30:00,604
2022-04-15 11:15:00,619
2022-04-16 10:30:00,671
2022-04-17 11:45:00,644
2022-04-18 11:30:00,628
2022-04-19 11:00:00,624
2022-04-20 11:00:00,611
2022-04-21 11:00:00,579
2022-04-22 11:00:00,608
2022-04-23 11:00:00,603
2022-04-24 12:30:00,587
2022-04-25 11:20:00,543
2022-04-26 11:00:00,467
2022-04-27 11:00:00,510
2022-04-28 11:00:00,487
2022-04-29 11:00:00,477
